dx1,F1,dx2,F2
0.428238,13.60575,0.4282,15.71655
0.429063,13.66615,0.42905,15.7547
0.429888,13.72337,0.429888,15.79285
0.430713,13.75834,0.430725,15.84053
0.431538,13.76788,0.431563,15.88503
0.432363,13.76788,0.432388,15.92
0.4332,13.78377,0.433213,15.92954
0.43405,13.81238,0.43405,15.9359
0.4349,13.86325,0.4349,15.96451
0.435738,13.91411,0.435725,16.01219
0.436575,13.95861,0.436575,16.0408
0.4374,13.99994,0.437413,16.06623
0.438213,14.04444,0.43825,16.08213
0.43905,14.08577,0.439088,16.09167
0.439888,14.12074,0.439913,16.09167
0.440725,14.14617,0.440738,16.1012
0.441563,14.16842,0.441563,16.12663
0.4424,14.17796,0.442388,16.15206
0.443238,14.19385,0.443213,16.14253
0.444063,14.23836,0.444038,16.1171
0.4449,14.2924,0.444875,16.09802
0.445725,14.33372,0.445713,16.09167
0.44655,14.3528,0.446563,16.09167
0.447375,14.37823,0.4474,16.08213
0.4482,14.42909,0.448225,16.04716
0.449038,14.48631,0.449063,16.01537
0.449875,14.53082,0.449888,16.01219
0.450725,14.55625,0.4507,16.03762
0.451563,14.56579,0.45155,16.06623
0.4524,14.59122,0.452388,16.10756
0.453238,14.64208,0.453213,16.14253
0.454075,14.69612,0.454063,16.1616
0.454888,14.73745,0.4549,16.17114
0.455738,14.76924,0.455738,16.20293
0.456563,14.8042,0.456575,16.24425
0.4574,14.84871,0.457413,16.29511
0.458238,14.90911,0.458225,16.34916
0.459075,14.95361,0.45905,16.39366
0.459913,14.97587,0.459875,16.42863
0.460738,14.99176,0.460713,16.47631
0.461575,15.01083,0.461538,16.52718
0.462413,15.04262,0.4624,16.55261
0.463225,15.07759,0.46325,16.56532
0.46405,15.11574,0.464088,16.59711
0.464875,15.15706,0.464925,16.66387
0.4657,15.1825,0.46575,16.7497
0.46655,15.20793,0.466563,16.8101
0.4674,15.24289,0.467388,16.84507
0.46825,15.28422,0.468238,16.88004
0.469088,15.32872,0.46905,16.90547
0.469925,15.36369,0.469888,16.92136
0.47075,15.38912,0.470725,16.94679
0.471575,15.42091,0.471563,16.97222
0.4724,15.45906,0.4724,16.95951
0.473238,15.49085,0.473225,16.88004
0.474063,15.51946,0.47405,16.76241
0.4749,15.56714,0.474875,16.6893
0.475738,15.62754,0.4757,16.6893
0.476575,15.68159,0.476538,16.74334
0.4774,15.71655,0.477363,16.82281
0.478238,15.73881,0.4782,16.915
0.479063,15.77377,0.47905,16.99448
0.479875,15.8151,0.4799,17.07713
0.4807,15.85325,0.480738,17.16614
0.481525,15.90093,0.481575,17.25833
0.48235,15.95179,0.4824,17.31555
0.483188,15.98994,0.483238,17.32508
0.484038,16.01219,0.484063,17.34416
0.484875,16.02491,0.484913,17.40138
0.485725,16.0408,0.485738,17.48085
0.486563,16.07577,0.486575,17.56032
0.487388,16.12663,0.487413,17.62072
0.488213,16.17114,0.48825,17.64297
0.48905,16.21882,0.489075,17.64615
0.489888,16.25697,0.4899,17.67159
0.490725,16.30783,0.490738,17.73834
0.491575,16.36823,0.491563,17.84325
0.492413,16.42545,0.492375,17.96087
0.49325,16.46996,0.493188,18.05305
0.494088,16.49221,0.494025,18.11663
0.494913,16.50492,0.494863,18.1675
0.495738,16.53036,0.4957,18.22472
0.496563,16.56214,0.49655,18.28512
0.497388,16.59075,0.497388,18.34551
0.498213,16.61619,0.498225,18.42499
0.499025,16.64797,0.499063,18.51718
0.499863,16.6893,0.499875,18.60619
0.500713,16.71791,0.500725,18.68884
0.50155,16.74334,0.501563,18.77467
0.5024,16.76877,0.5024,18.85414
0.503238,16.81328,0.503238,18.94633
0.504063,16.86096,0.504088,19.03216
0.504888,16.88957,0.504925,19.12117
0.505713,16.90865,0.505763,19.20382
0.506563,16.9309,0.506588,19.27376
0.5074,16.95633,0.507413,19.34052
0.508238,16.96587,0.508238,19.41681
0.509075,16.98176,0.50905,19.50264
0.509925,17.01037,0.509875,19.56622
0.510763,17.06123,0.5107,19.61708
0.5116,17.10574,0.51155,19.66158
0.512425,17.14388,0.5124,19.70927
0.51325,17.18203,0.513238,19.7347
0.514063,17.24243,0.514075,19.74424
0.514888,17.30919,0.5149,19.76967
0.515713,17.35052,0.515725,19.81417
0.51655,17.37913,0.51655,19.88411
0.517413,17.42045,0.517375,19.9763
0.51825,17.45542,0.518225,20.07166
0.519088,17.46496,0.519063,20.15432
0.519913,17.46496,0.5199,20.22425
0.520738,17.47449,0.520738,20.29419
0.52155,17.50628,0.521575,20.37366
0.522388,17.54125,0.522413,20.43724
0.523213,17.58575,0.523238,20.47221
0.52405,17.62708,0.524063,20.51035
0.524888,17.65251,0.524888,20.58347
0.525725,17.67794,0.525725,20.67248
0.52655,17.71927,0.526538,20.75513
0.527388,17.77331,0.527375,20.80599
0.528213,17.83053,0.5282,20.81553
0.52905,17.87504,0.52905,20.80917
0.529863,17.90365,0.5299,20.80917
0.5307,17.93543,0.530738,20.80599
0.531525,17.97994,0.531575,20.7901
0.532363,18.03716,0.5324,20.76467
0.5332,18.09756,0.533213,20.73288
0.53405,18.14207,0.53405,20.69473
0.5349,18.14207,0.534888,20.66294
0.535738,18.11663,0.535713,20.63433
0.536575,18.1071,0.53655,20.59619
0.5374,18.14842,0.537388,20.57711
0.538225,18.20882,0.538225,20.59301
0.53905,18.25968,0.539063,20.61208
0.5399,18.29465,0.5399,20.63433
0.540725,18.32008,0.540725,20.63751
0.541563,18.34869,0.54155,20.64705
0.5424,18.38048,0.542375,20.6693
0.543238,18.43134,0.5432,20.68202
0.544075,18.50128,0.544025,20.67884
0.544913,18.56804,0.544875,20.6693
0.545738,18.61254,0.545725,20.6693
0.546563,18.63798,0.546575,20.68838
0.547375,18.65705,0.547413,20.72334
0.5482,18.66659,0.54825,20.77421
0.549038,18.68248,0.549075,20.82825
0.549875,18.71745,0.549888,20.88547
0.550713,18.76831,0.550713,20.94587
0.551563,18.81917,0.551563,21.01262
0.552413,18.85414,0.5524,21.07302
0.55325,18.87957,0.553238,21.10799
0.554075,18.905,0.554075,21.12707
0.5549,18.94633,0.554913,21.1525
0.555738,18.97494,0.55575,21.19382
0.556563,19.00037,0.556588,21.25422
0.5574,19.0258,0.557413,21.32098
0.558238,19.06713,0.558225,21.37184
0.559088,19.11799,0.55905,21.40045
0.559913,19.15932,0.559888,21.41953
0.56075,19.18793,0.560713,21.45131
0.561575,19.22289,0.56155,21.45767
0.5624,19.28012,0.5624,21.44178
0.563213,19.30555,0.56325,21.43224
0.56405,19.29283,0.564088,21.45131
0.564863,19.28965,0.564925,21.51171
0.5657,19.32462,0.565738,21.57847
0.566538,19.37548,0.566563,21.62298
0.567388,19.42635,0.5674,21.65794
0.568225,19.47085,0.568238,21.71834
0.569063,19.53125,0.569063,21.80417
0.5699,19.58847,0.5699,21.89636
0.570725,19.64251,0.570738,21.97584
0.57155,19.70927,0.571563,22.04577
0.572388,19.76331,0.5724,22.12206
0.573225,19.7951,0.573225,22.2079
0.574063,19.811,0.574063,22.29373
0.5749,19.83325,0.574875,22.37638
0.575738,19.88411,0.5757,22.44631
0.576575,19.93179,0.576525,22.50671
0.577413,19.95722,0.57735,22.54804
0.578238,19.98266,0.578188,22.59254
0.579063,20.0208,0.579025,22.6593
0.579888,20.07802,0.579875,22.73878
